,year,chemical etching,photochemical blanking,electroforming stamping,plasma etching,ultrasonic machining,water jet cutting,electrical discharge machining,electron beam machining,3D printing,bioprinting,replica molding,biofabrication,freeze casting,microfabrication,electrospinning,allograft
0,1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,1994,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
19,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334
22,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.9444444444444444
24,2000,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96
25,2001,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.896551724137931
26,2002,0.05405405405405406,0.0,0.0,0.02702702702702703,0.0,0.0,0.1891891891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.7027027027027027
27,2003,0.05405405405405406,0.0,0.0,0.0,0.0,0.02702702702702703,0.10810810810810811,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7837837837837838
28,2004,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.7931034482758621
29,2005,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888
30,2006,0.03389830508474576,0.0,0.0,0.0,0.0,0.05084745762711865,0.0847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.8135593220338984
31,2007,0.05714285714285714,0.0,0.0,0.05714285714285714,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571
32,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.9545454545454546
33,2009,0.07462686567164178,0.0,0.0,0.029850746268656716,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05970149253731343,0.04477611940298507,0.7761194029850746
34,2010,0.08,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.03,0.82
35,2011,0.1523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0,0.047619047619047616,0.047619047619047616,0.7428571428571429
36,2012,0.13194444444444445,0.0,0.0,0.027777777777777776,0.013888888888888888,0.0,0.013888888888888888,0.0,0.0,0.006944444444444444,0.006944444444444444,0.013888888888888888,0.0,0.013888888888888888,0.027777777777777776,0.7430555555555556
37,2013,0.13636363636363635,0.0,0.0,0.08677685950413223,0.01652892561983471,0.004132231404958678,0.012396694214876033,0.0,0.0,0.004132231404958678,0.004132231404958678,0.008264462809917356,0.0,0.028925619834710745,0.05785123966942149,0.640495867768595
38,2014,0.09236947791164658,0.0,0.0,0.05220883534136546,0.024096385542168676,0.0,0.01606425702811245,0.0,0.0,0.012048192771084338,0.004016064257028112,0.012048192771084338,0.0,0.01606425702811245,0.09236947791164658,0.678714859437751
39,2015,0.09523809523809523,0.0,0.0,0.030303030303030304,0.004329004329004329,0.0,0.030303030303030304,0.0,0.0,0.017316017316017316,0.004329004329004329,0.004329004329004329,0.004329004329004329,0.021645021645021644,0.06926406926406926,0.7186147186147186
40,2016,0.050980392156862744,0.0,0.0,0.043137254901960784,0.0,0.00392156862745098,0.0,0.0,0.0,0.023529411764705882,0.0,0.00392156862745098,0.0,0.027450980392156862,0.11372549019607843,0.7333333333333333
41,2017,0.05761316872427984,0.0,0.0,0.02880658436213992,0.0,0.00411522633744856,0.024691358024691357,0.0,0.0,0.01646090534979424,0.00411522633744856,0.02880658436213992,0.0,0.02880658436213992,0.11934156378600823,0.6872427983539094
42,2018,0.05652173913043478,0.004347826086956522,0.0,0.021739130434782608,0.004347826086956522,0.004347826086956522,0.017391304347826087,0.004347826086956522,0.0,0.0391304347826087,0.004347826086956522,0.05217391304347826,0.004347826086956522,0.05652173913043478,0.16521739130434782,0.5652173913043478
43,2019,0.03125,0.0,0.0,0.03125,0.0,0.0,0.017361111111111112,0.0,0.0,0.03819444444444445,0.006944444444444444,0.059027777777777776,0.0,0.03819444444444445,0.15625,0.6215277777777778
44,2020,0.07773851590106007,0.0035335689045936395,0.0,0.02120141342756184,0.0035335689045936395,0.0035335689045936395,0.014134275618374558,0.0035335689045936395,0.0,0.0636042402826855,0.0035335689045936395,0.06713780918727916,0.0035335689045936395,0.03180212014134275,0.12014134275618374,0.5830388692579506
45,2021,0.03900709219858156,0.0,0.0,0.024822695035460994,0.0,0.0035460992907801418,0.010638297872340425,0.0,0.0,0.09219858156028368,0.0070921985815602835,0.10283687943262411,0.0,0.04609929078014184,0.1347517730496454,0.5390070921985816
